Question,Option A,Option B,Option C,Option D,Answer,Explanation
# 39. Third normal form is based on the concept of #database #star/5 [[Database#Normalization|more...]] || [[Database#**Normalization of `MusicFestivalManagement` Table** -an elaborate example|example.]],,,,,d ,
# 40. Which one of the following is true for a tuple in a database? #database,,,,,c,
# 41. Which of the following is not a nonvolatile storage device? #untagged,,,,,c ,
"# 42. In an asymmetric key encryption process, the key used to encrypt the data is known as a-  #network_sec",,,,,c ,
# 43. Why is set transaction used in an oracle DBMS?  #database,,,,,d ,
## Why Other Options Are Incorrect**,,,,,,
# 44. Which is the oracle component that contains the memory structures and background process? #database,,,,,c,
# 45. The three different application logic components are which of the following?,,,,,c,
# 46. Which of the following is not a factor in determining the concurrency control behavior of SQL Server?,,,,,a,
"# 47. In a DBMS, when multiple transaction programs update the same database simultaneously, which of the following is a technology that is used to prevent logical began contradictions?",,,,,b or a,
##  **Note:  Why Other Options Are Incorrect**,,,,,,
# 48. The Application program interface in a two-tier architecture DBMS is provided by- #database/4,,,,,c,
# 49. Which of the below is responsible for controlling the interaction among,,,,,b ,
# 50. Of the functions provided by a DBMS. Which of the following is a means for achieving protection for data ==confidentiality==?,,,,,c,
# 51. In strict two phase locking protocol- #database [[Database#2. **Strict Two-Phase Locking**|more..]],,,,,a,
"# 52. The maximum number of super keys for the relation schema R (E, F, G, H) with E as the key is- #database || [[Database#**Keys Definitions in DBMS**|key defs.]]",,,,,d ,
# 53. Oracle materialized views or SNAPSHOTS is used-,,,,,b,
# 54. A distributed database has which of the following advantages over a centralized database?,,,,,d,
# 55. Which is not the UTL FILE function-,,,,,b,
# 56. Database index speeds up- #database/3,,,,,d ,
# 57. Which of the following index is automatically created by the database server when an object is created? #database/3,,,,,a ,
# 58. 'We are waiting `for the bus` 'The underlined part is ------  #english,,,,,c (its c biat !!!!),
# 59. Fill in the blank with correct preposition. He is devoid ------- Commonsense.,,,,,a,
"# 60. Complete the following sentence 'Had I known you were waiting outside, I -------- #english",,,,,,
# 61. Choose the appropriate meaning of the idiom `'swan song'`   #english,,,,,b,
"# 62. What is the meaning of ""White Elephant""? #english",,,,,d,
# 63. A floor with dimension of 20 feet to 35 feet is needed to be tiled. Two workers can tile that floor in `2 hours and 30 minutes`. If they are joined by three other workers of similar ability. How many hours will it take to tile the floor?   #math/5  [[Time and Work#63. A floor with dimension of 20 feet to 35 feet is needed to be tiled. Two workers can tile that floor in `2 hours and 30 minutes`. If they are joined by three other workers of similar ability. How many hours will it take to tile the floor?|see... worker x hr..]],,,,,,
# 64. A train went 300 km from city X to city Y at an average speed of 100 km/h. At what speed did it travel on the way back if its average speed for the whole trip was 120 km/h.,,,,,d  [[Problems on train#64. A train went 300 km from city X to city Y at an average speed of 100 km/h. At what speed did it travel on the way back if its average speed for the whole trip was 120 km/h.|explain..]],
"# 65. A lamp is manufactured to sell for $35.00, which yields a profit of 25% of cost. If the profit is to be reduced to 15% of cost, what will be the new retail price of the lamp?",,,,,d,
"# 66. A leading library charges `c` cents for the first week that a book is loaned and f cents for each day over one week. What is the cost for taking out a book for days, where d is greater than 7?",,,,,a,
"# 67. A boat sailing against a stream of river takes 6 hours to travel 24 kms, while sailing with the stream it takes 4 hours to travel the same distance. What is the speed of the stream?",,,,,c,
# 68. Which one of the following words is masculine?,,,,,b,
# 69. Love for the whole world is called -------,,,,,a,
# 70. Who did write first English dictionary?,,,,,,
# 71. Choose the correct spelling-,,,,,C,
# 72. Misanthropist means-,,,,,c,
"# 73. A manufacturer sells three products i.e. A, B and C Product A costs 200 and sells for 250. Product B costs 150 and sells for 180, product C costs 1000 and sells for 110. diten On which product, he has maximum percentage of profit?",,,,,d,
"# 74. Three boys have marbles in the ration of 19:5:3. If the boy with the least number has 9 marbles, how many marbles does the boy with the highest number have?",,,,,,
"# 75. In a Group of 15, 7 can speak Spanish, 8 can speak French and 3 can speak neither, What fraction of the group can speak both French and Spanish?",,,,,a ,
"# 76. In distributing milk at a summer camp, it is found that a quart of milk will fill wither 3 large large glass tumblers or 5 small glass tumblers. How many small glass tumblers can be filled with one large glass tumbler?",,,,,,
# 77. The triangular base of a prism is a right triangle of sides a and b =2a. The height h of the prism is equal to 10mm and its volume is equal to 40mm 3. What will be the lengths of the sides a and b of the triangle?,,,,,,
# 78. তুমি আসবে বলে হে স্বাধীনতা সখিনা বিবি কপাল ভাঙ্গল। এটি কোন বাচ্য? #bangla,,,,,,
# 79. সমাসবদ্ধ শব্দ আনত কোন সমাসের উদাহরণ?,,,,,,
# 80. বৈষ্ণব পদাবলির সঙ্গে কোন তথ্য সম্পর্কিত?,,,,,,
# 81. সহচর্য শব্দের শুদ্ধ গঠন কোনটি?,,,,,c,
# 82. চৌ-হন্দি শব্দটি কোন কোন ভাষার শব্দ মিলে হয়েছে? #bangla,,,,,c,
# 83. বাংলাদেশে প্রথম জাতীয় সংসদের নির্বচন কখন হয়? #GK/5,,,,,c,
# 84. টেস্ট ক্রিকেটে বাংলাদেশের পক্ষে কে প্রথম ডাবল সেঞ্চুরি করেন? #GK,,,,,a,
# 85. স্টিফেন হকিং একজন- #GK,,,,,,
# 86. চীনের জিনজিয়াং প্রদেশে বসবাসকারী প্রধান মুসলিম সম্প্রদায়ের নাম কি? #GK,,,,,,
# 87. EDSAC কাপিউটার এ ডাটা সংরক্ষণের জন্য কি ধরণের মেমরি ব্যবহার হত? #cse,,,,,c,
# 88. শিব রাত্রির সলতে- বাগধারটির অর্থ কী? #bangla,,,,,,
# 89. ‘কোন পান্থ ক্ষান্ত হও হেরি দীর্ঘ পথ'- কার লেখা? #bangla/5,,,,,a,
# 90. বাংলা গদ্যের জনক কে? #bangla,,,,,b,
# 91. বাংলা ভাষার আদি নিদর্শন চর্যাপদ আবিষ্কৃত হয় কত সালে? #bangla,,,,,a,
# 92. বাংলা কথ্য ভাষার আদি গ্রন্থ কোনটি ? #bangla,,,,,b,
# 93. কত সালে আওয়ামী লীগের ৬দফা পেশ করা হয়েছিল? #GK,,,,,a,
# 94. নির্বাহী বিভাগ থেকে বিচার বিভাগ পৃথক করার বিষয়টি সংবিধানের কোন অনুচ্ছেদ উল্লেখ রয়েছে?  #GK,,,,,d,
# 95. ১৯৫৪ সালে পূর্ব পাকিস্তান প্রাদেশিক পরিষদ নির্বাচনে যুক্তফ্রন্টের কি প্রতীক ছিল?,,,,,b,
# 96. সলোমন দ্বীপপুঞ্জ কোন মহাসাগরে অবস্থিত ?,,,,,b,
# 97. বিশ্বব্যাংক সংশ্লিষ্ট কোন সংস্থাটি স্বল্প আয়ের উন্নয়নশীল দেশে বেসরকারি খাতে আর্থিক সহায়তা ও উপদেশ দিয়ে থাকে?,,,,,c,
National Security Intelligence (NSI) - Assistant Programmer Exam,,,,,,
# 1. ‘ক্ষুৎপিপাসা' শব্দের সন্ধি বিচ্ছেদ কী?,,,,,b,
# 2. সঠিক সন্ধি বিচ্ছেদ কোনটি?,,,,,c,
# 3. ‘কানে-কলম' কোন সমাসের উদাহরণ?,,,,,d,
# 4. “চৌরাস্তা কোন সমাসের উদাহরণ?,,,,,,
# 5. কারক ও বিভক্তি নির্ণয় করুন: কাননে কুসুমকলি সকলি ফুটিল।,,,,,,
# 6. “প্রিয়জনে যাহা দিতে চাই তাই দিই দেবতারে'। কারক ও বিভক্তি নির্ণয় করুন।,,,,,,
# 7. এক কথায় প্রকাশ করুন: অক্ষির অভিমুখে—,,,,,a,
# 8. কোন শব্দগুচ্ছের বানান শুদ্ধ?,,,,,,
# 9. বিদেশাগত বাংলা শব্দের ভিন্ন জাতীয় শব্দগুচ্ছ কোনটি?,,,,,d,
# 10. নিচের কোন বাগধারাটি ব্যতিক্রম?,,,,,,
# 11. ‘তীক্ষ্ণ' শব্দের যুক্তব্যঞ্জনের সঠিক বিশ্লেষণ কোনটি ?,,,,,,
# 12. ‘Graphic এর বাংলা পরিভাষা কী? -,,,,,,
# 13. কোনটি মৌলিক শব্দ?,,,,,a ,
# 14. বিপীতার্থক শব্দের ক্ষেত্রে নিচের কোনটি,,,,,,
# 15. “Every man is for himself”,,,,,,
"# 16. “যে পরিশ্রম করে, সে-ই সুখলাভ করে” । কোন ধরনের বাক্য?",,,,,,
# 17. ‘শোকার্ত তরবারী' কাব্যগ্রন্থের রচয়িতা কে?,,,,,,
# 18. মহাকাব্যিক উপন্যাস নয় কোনটি?,,,,,,
# 19. 'বিমলা-কুমুদিনী' কোন দুটি উপন্যাসের কেন্দ্রীয় চরিত্র?,,,,,a,
# 20. মোহাম্মদ নাসিরউদ্দিন কোন পত্রিকা সম্পাদনা করেছিলেন?,,,,,c,
# 21.,,,,,,
# 23. Are you sure that you,,,,,b ,
# 24. I have enrolled of,,,,,,
"# 25. What is the antonym of ""Segregate""?",,,,,,
# 26. The Children were too flabbergasted,,,,,,
"# 27. Good morning,",,,,,c ,
# 28. There was somebody waling behind us. I thought we,,,,,,
# 29. You have been working since morning adora. do you have,,,,,b,
"# 30. Which of the following has the similar sound of the word ""won""?",,,,,,
# 31. Choose the correct sentence.,,,,,,
# 32. Choose the correct sentence.,,,,,,
"# 33. What is the noun form the word ""defer""? a. defer b. deferment c. deference 34. What is the verb form of the word ""Acquisition”?",,,,,b,
"# 35. What is the synonym of the word ""Erudite""?40%d",,,,,a,
"# 36. Choose the correct translation of the sentence- ""You should fight shy of an evil company"".",,,,,d,
# 37. Choose the correct spelling.,,,,,,
# 38. I am feeling under the water. What does the underlined phrase mean?,,,,,,
# 39. I would have made sure Rana was here,,,,,,
# 40. Choose the correct sentence.,,,,,c,
"# 41. It takes 5 hours to fill a container using machine A. The same container can be filled using Machin B in 10 hours. When the container is full, Machine C can fully empty the container in 20 containers how long will it take for the container to be completely filled if a ,b c  were opened togather? #math/5",,,,,b,
# 42. Two trucks 300 km away are travelling towards each other with a constant speed. Truck A is moving at a constant speed of 50 km/h. How long does it take for them to meet? #incomplete,,,,,c,
"# 43. If 12 men work on a particular task. it takes them 24 days to complete it. On the other hand, 12 women can complete the same task in 12 days. How many days it takes if the 12 men and 12 women cooperated with each other to finish to finish the same task? #math",,,,,c,
"# 44. Ahmed sold a t-shirt for TK. 810, and gain 8%. How much did he purchase it for?",,,,,a,
# 45. A restaurant makes 20% profit after selling a set menu at a discount of 20%. What Plex is the percentage increase of marked price?,,,,,,
"# 46. If a2 - b2 = 20, a+b= 5, What is the value of a-b?",,,,,,
"# 47. x+y=535, x+4y=4, what is the value of 4x2 + 20xy + 16y2?",,,,,d,
# 48. You are looking at a billboard 40m away with an angle of elevation of 30°. At what height is the billboard?,,,,,a,
# 49. What is the probability of getting a sum of six if two dices are thrown at one?,,,,,a,
"# 50. A ladder against a wall that tis perpendicular to the ground. If the bottom of the ladder is 4m away from the bottom of the wall, while the tip of the ladders is at a benz height of 3m, what is the length of the ladder?",,,,,c,
"# 51. In a room of 36 people, 20 players play chess while 28 players play poker. dat many players pay both?",,,,,,
# 52. A fair six-sided die is rolled. Find the probability of getting an odd number or a number less than 4.,,,,,a,
# 53. How many positive integers less than ten thousand are multiples of both eight and eighteen?,,,,,c,
"# 54. The H.S.F and L.C.M of two number are 12 and 288 respectively. If one of the 2 ten/numbers is 96, find the other.",,,,,b,
"# 55. The ratio of male students to female students in a class is 13 to 19. If there are 224 people in the class, including one teacher, one administrator, and thirty evaluators, how many people in the class are male students? 13+ 192=224=(1+1+30)",,,,,a,
# 56. 5 years ago the ration of father's age to son's age was 5:1 and 2 years later father's age will be 3 times his son's age. What is the ration of their present age?,,,,,,
"# 57 What is the value of a, if 3x2 + ax + a + 3 is divisible by x+2?",,,,,d,
# 58. A train 220 m long is moving at 45km/h. The time taken by the train to cross a,,,,,,
# 59. Who was the first English translator of Bangladesh National Anthem,,,,,,
# 60. The factors of $4x^4$ + 1 is,,,,,d,
"# 61. A vegetable cart sells a potato for $0.24 and a tomato for $0.76. Fred bought 12 vegetables in total. He only bought potatoes and tomatoes. If Fred paid $ 6.52 total, how many potatoes did he buy?",,,,,,
# 62. Who is the new secretary General of BIMSTEC?,,,,,c,
# 63. Who is the writer of the book named A Promise Land?,,,,,d,
# 64. According to the 'Sustainable Development goals (SFG) Index 2020' Bangladesh has been ranked,,,,,b,
# 65. In the keyboard of a computer processing F8 Key for three times selects?,,,,,,
# 66. Which was the world's first electronic computer?,,,,,1st ,
